misdemeanour misdemeanor
multicolour multicolor
neighbour neighbor
neighbourhood neighborhood
neighbourly neighborly
neighbourliness neighborliness
odour odor
parlour parlor
rancour rancor
rigour rigor
rigours rigors
rigourous rigorous
rumour rumor
rumourmonger rumormonger
saviour savior
saviours saviors
savour savor
savoury savory
splendour splendor
succour succor
tricolour tricolor
tumour tumor
uncoloured uncolored
unfavourable unfavorable
unfavourably unfavorably
unflavoured unflavored
unsavoury unsavory
unsavourily unsavorily
valour valor
vapour vapor
vapourware vaporware
varicoloured varicolored
vigour vigor
vigourous vigorous
watercolour watercolor
mould mold
mouldings moldings
mouldable moldable
moulder molder
mouldy moldy
moult molt
remould remold
smoulder smolder
rouble ruble
roubles rubles
Doukhobor Dukhobor
encyclopaedia encyclopedia
encyclopaedic encyclopedic
leukaemia leukemia
manoeuvre maneuver
manoeuvrable maneuverable
manoeuvrability maneuverability
mementoes mementos
oedema edema
oedematous edematous
oesophagus esophagus
oesophagi esophagi
oesophageal esophageal
oestrogen estrogen
oestrous estrous
oestrus estrous
orthopaedic orthopedic
orthopaedist orthopedist
outmanoeuvre outmaneuver
paediatric pediatric
paediatrician pediatrician
paedophile pedophile
paedophilia pedophilia
paedophiliac pedophiliac
palaeontology paleontology
palaeontologist paleontologist
seborrhoea seborrhea
septicaemia septicemia
toxaemia toxemia
toxaemic toxemic
tularaemia tularemia
uraemia uremia
adze adz
ageing aging
annexe annex
axe ax
blameable blamable
judgement judgment
judgemental judgmental
kindergartener kindergartner
liveable livable
liveability livability
lodgement lodgment
misjudgement misjudgment
neurone neuron
neurones neurons
nurseling nursling
phoney phony
phoneys phonies
prejudgement prejudgment
rateable ratable
rateability ratability
rateably ratably
saleable salable
saleability salability
shakeable shakable
thiamine thiamin
tuneable tunable
unliveable unlivable
unmoveable unmovable
unnameable unnamable
untameable untamable
appal appall
apparelled appareled
barrels barrels
barrelled barreled
barrelling barreling
bedevils bedevils
bedevilled bedeviled
bedevilling bedeviling
bejewelled bejeweled
bevels bevels
bevelled beveled
bevelling beveling
cancels cancels
cancelled canceled
cancelling canceling
carols carols
carolling caroling
caroller caroler
cavils cavils
cavilled caviled
channelled channeled
channelling channeling
chisels chisels
chiselled chiseled
counsels counsels
counselled counseled
counselling counseling
counsellor counselor
councillor councilor
crueller crueler
cruellest cruelest
cudgels cudgels
cudgelled cudgeled
cudgelling cudgeling
dials dials
dialled dialed
dialler dialer
dialling dialing
disembowels disembowels
disembowelled disemboweled
dishevelled disheveled
duels duels
duelled dueled
duelling dueling
dueller dueler
duellist duelist
enamel enamel
enamels enamels
enamelled enameled
enrol enroll
enrols enrolls
enrolled enrolled
enrolling enrolling
enthral enthrall
enthrals enthralls
enthralled enthralled
evil evil
eviller eviler
evillest evilest
equals equals
equalled equaled
equalling equaling
fulfilment fulfillment
funnels funnels
funnelled funneled
